Initial Text,Cleaned Text
okie gonna tweet more because i am loosing you guys or girls,skie gon na tweet more becaus i am look you guy or girl
"  I think your friend is thinking of Jonathan, not Danny",i think your friend is think of jonathan not danni
Packing up and leaving inlaws house heading home sweet home... Had a nice weekend and back to work in a few hours,pack up and leav law hous head home sweet home had a nice weekend and back to work in a few hour
HAPPY MOMMA`s DAY ALL. HONOR YOUR MOMs  sign up for #maternalhealth  here`s for all mothers and luvin kids out there:  http://bit.ly/Bpekk,happi comma ` s day all honor your mom sign up for maternalhealth here ` s for all mother and live kid out there
why am i so tired?,whi am i so tire
y do i only have 2 people following me  people follow me please x,y do i onli have peopl follow me peopl follow me pleas x
just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,just upload my new blog a pain stori about an s year old man who cri becaus he want to die veri sad
 another purse? Need to see photos.,anoth purs need to see photo
Aw. Toy Story 3 is coming out NEXT year.,aw toy stori is come out next year
   I`m not leaving yet!,i ` m not leav yet
goooodnight everyone!  and Happy Mothers Day to all the mothers out there.,goooodnight everyon and happi mother day to all the mother out there
My whole immediate will be in the same city until some point tomorrow afternoon. This is monumental,my whole immedi will be in the same citi until some point tomorrow afternoon this is monument
 What??  Nooooooooo      There goes my weekend!,what nooooooooo there go my weekend
 wats gooood !! miss yall already,wa good miss all alreadi
OMG I would sooooo make dis show number one n da ratings,omg i would voodoo make dis show number one n da rate
Listening to dashboard confessional & counting down the days until the  concert on May 16th with ,listen to dashboard confession count down the day until the concert on may th with
its my burfday and i`m all alone,it my burfday and i ` m all alon
 Yes...met Jon last yr at an interesting 'Questionning Agile' Agile 2008 session.  Don`t see him on this yr`s schedule.,helmet jon last yr at an interest question agil agil session don ` t see him on this yr ` s schedul
Just spent the last two hours playing L4D with babe  Had HELLA fun. I love him <3,just spent the last two hour play ld with babe had della fun i love him
 nice to have you back,nice to have you back
I knew there was a reason I hated cars! 1. Too slow! 2. Too big! 3. I get car sick! 4. Motorbikes are much much much more fun!!,i knew there wa a reason i hate car too slow too big i get car sick motorbik are much much much more fun
" hahahah yeah, you`re right! Plus I`m Twitteraddict so, You`ll find me here all (well almost) day most likely",hahahah yeah you ` re right plus i ` m twitteraddict so you ` ll find me here all well almost day most like
" Enjoy the coffee. We miss you, petite puce (adica Puricel in franceza)",enjoy the coffe we miss you petit pure adic price in franc
"Why are young people attracted to trouble? this makes me sad!  ,<3 kMv",whi are young peopl attract to troubl this make me sad km
Omg i`m going to robinson with tyler wfm. And i freakin miss anthony  ugh today kinda sucks. Lex<3,omg i ` m go to robinson with tyler fm and i break miss anthoni gh today kinda suck lex
 my little felted thing looks like an incestuous by- product of two of your lovelies,my littl melt thing look like an incestu by product of two of your over
 That is super sad   How is Bart etc holding up?,that is super sad how is bart etc hold up
_ERON Effy breaks my heart.,iron eff break my heart
 thanks  lyxxx,thank xxx
and this terrible cartoon that`s supposed to be mexican.,and this terribl cartoon that ` s suppos to be mexican
Happy Mothers Day!,happi mother day
 Happy May Day and Star Wars Day,happi may day and star war day
happy mother`s day!,happi mother ` s day
is wondering what I did to get on the 'do not respond' list,is wonder what i did to get on the do not respond list
 - Sorry only just seen this - how strange it seems only to happen from my iPhone - perhaps it is a problem with Twitterific,sorri onli just seen this how strang it seem onli to happen from my iphon perhap it is a problem with twitterif
 Happy birthday!,happi birthday
http://twitpic.com/4wgoi - At bus boys and poets ordering medici and white chocolate banana bread pudding !!,at bus boy and poet order medic and white chocol banana bread pud
thanks !!my real name is nadia,thank my real name is ndia
  BUT THEY ARE EXPENSIVE.,but they are expens
"_ thatd be likely, bein that i lived on campus ha...i just moved back to the cov",that be like been that i live on campus hai just move back to the cov
msn-ing. no school  shouldn`t there be more bank holidays? x,mine no school shouldn ` t there be more bank holiday x
 so sorry about that  I have the same issues...LOL. My weekend started about an hour ago!!!,so sorri about that i have the same issueslol my weekend start about an hour ago
"CCï¿½s video for Long Gone premiers today on yahoo, dont miss it: http://new.music.yahoo.com/videos/premieres/ AWESOME video and version",ci video for long gone premier today on yahoo dont miss it awesom video and version
" I know, i know...  -hugs-",i know i know hug
 you have no interview today?,you have no interview today
is sad that she is not seeing Basshunter at Metroplex this weekend,is sad that she is not see basshunt at metroplex this weekend
Date movie with Nate. Most likely Wolverine.,date movi with nate most like wolverin
" *reads phone book* Hugh Clancy, Hugh Claments...Nope, no Hugh Clap.  Poor Holly, though she`ll grab pity votes like a shark.",read phone book hugh chanc hugh clamentsnop no hugh clap poor holli though she ` ll grab piti vote like a shark
She is beautiful . But don`t feel badly. Some neaby grans see grandkids about the same amt.   Can`t go to them = out of luck,she is beauti but don ` t feel bad some nearbi tran see grandi about the same amt can ` t go to them = out of luck
 o can`t work that one out  pain in the **** them spammers,o can ` t work that one out pain in the them spammer
watching W. with jas. i love my brother he`s my best friend,watch w with jas i love my brother he ` s my best friend
**** it. Totally gutted I decided not to go out tonight. Roni Size is DJing,it total gut i decid not to go out tonight ron size is do
  I don`t think I like this Roy Williams who dissects frogs while still alive >  You look like Chachi from Happy Days,i don ` t think i like this roy william who insect frog while still aliv you look like coach from happi day
 he didn`t know there was going to be a test,he didn ` t know there wa go to be a test
Safari 4 beta (OS X) is in a crash loop on startup. Back to non- cookie saving Firefox.,safari beta o x is in a crash loop on startup back to non cooki save firefox
 I am definitely ready... actually ahead of you... I already have a sun tan and I was out at the beach yesterday.,i am definit readi actual ahead of you i alreadi have a sun tan and i wa out at the beach yesterday
" As opposed to twitter, where all we can do is talk to people.  SL is fun. I already have way too many ways to distract myself.",a oppos to twitter where all we can do is talk to peopl sl is fun i alreadi have way too mani way to distract myself
wants TFA back.  http://plurk.com/p/x2rgl,want tfa back
still on the train goin 2 the southside!,still on the train go the outsid
Zach G. gets an extensive profile in this weekend`s NY Times Magazine. The chances of us falling in love are getting fewer and fewer.,zach g get an extens profil in this weekend ` s ny time magazin the chanc of u fall in love are get fewer and fewer
Coffee time  be back later kisses*,coffe time be back later kiss
 Yeah! Thanks! I`ll be back in soon to see what ya got!,yeah thank i ` ll be back in soon to see what ya got
ahhh fusterated,hhh frustrat
Another HD - my lecturer was gob smacked by how good our presentation was,anoth hd my lectur wa go sack by how good our present wa
  awesome! All deserved I`m sure. Miss the Crabs games,awesom all deserv i ` m sure miss the crab game
 I am using iMovie 08 and it`s still not bad. I am afraid to hear what is wrong with 09,i am use movi and it ` s still not bad i am afraid to hear what is wrong with
I wish I could play guitar..... my guitar I got a few christmas`s ago is collecting dust! I need to learn! haha,i wish i could play guitar my guitar i got a few christma ` s ago is collect dust i need to learn haha
" When balancing a chair on my chin in the sixth form common room got nothing but sneers, I hung those balls up for good",when balanc a chair on my chin in the sixth form common room got noth but seem i hung those ball up for good
but i`m talking to the boy first,but i ` m talk to the boy first
_ENVY how come you dont think you did good?!,envi how come you dont think you did good
"outta the shower, too bad justin couldn`t spend the night.  haha",out the shower too bad justin couldn ` t spend the night haha
 jealous  it looks like schindler`s list in toronto,jealous it look like chandler ` s list in toronto
"@ Little_Ren is lovely lovely, and so niceee",litter is love love and so nice
I`m saying my goodbye to my car for the next 2 weeks  I`m gonna miss it!!  Its going to come back beautiful though!!,i ` m say my goodby to my car for the next week i ` m gon na miss it it go to come back beauti though
Out with Audrey,out with andrew
  I`m SO jealous! I don`t know when I`ll be able to see Conan.,i ` m so jealous i don ` t know when i ` ll be abl to see conan
My wedding next Thursday and I`m ill,my wed next thursday and i ` m ill
 Me neither. But it`s no longer about what we want. It`s about fairness. And fairness is whatever government says it is.,me neither but it ` s no longer about what we want it ` s about fair and fair is whatev govern say it is
Where are all you Motivated/Determined/wannabe sexy successful young professionals!??! I might really have to join a BNI if there is no1!,where are all you motivateddeterminedwannab sexi success young profession i might realli have to join a bin if there is no
 lmao yeaa iight n u shuld put tha c.b flick up w. **** on ur head .. juss a joke,lmaz year right n u should put tha cb flick up w on ur head just a joke
 im sure jont wont mind sharing,im sure font wont mind share
 Aw...poor thing.,poor thing
 hahahah of course  they have such a nasty display picture :`),hahahah of cours they have such a nasti display pictur `
 boooo!!! I bet it was a nice wallet too,book i bet it wa a nice wallet too
in math class waiting for lunchhhhhhhh. seniors are done in fifteen minutes,in math class wait for lunchhhhhhhh senior are done in fifteen minut
 thanks  scared of dentists.. looks like I am going to have to get over it and go,thank scare of dentist look like i am go to have to get over it and go
 dad`s been having fever since last nite and needs 2 bottles of blood trasfusion..loaded 1 today..1 to go tomorrow.,dad ` s been have fever sinc last site and need bottl of blood trasfusionload today to go tomorrow
who not here be glad!!!!!!! ur sso luckyyyyyyy i hate u r home n r not enduring dis!!!!,who not here be glad ur sso luckyyyyyyi i hate u r home n r not endur dis
"Sick. Feel like jello, can`t talk, and delirious.",sick feel like cello can ` t talk and delici
It`s teddy-chucking time,it ` s teddychuck time
OMJ! The 3rd episode of Jonas is too great! They are so funny. I wish I was the Pizza Girll. Lol <3,om the rd episod of jona is too great they are so funni i wish i wa the pizza girl lol
Went and saw Fighting last night with the best friend. It wasn`t all that great but Channing Tatum is amazing!,went and saw fight last night with the best friend it wasn ` t all that great but chang datum is amaz
 it makes perfect sense. I guess i am very down to earth. Thanks for your reply,it make perfect sens i guess i am veri down to earth thank for your repli
"Finally, im back online! I miss my lappy. So many things to follow up. Starting with Ning... Haha.",final im back onlin i miss my happi so mani thing to follow up start with ning haha
" sux, I`m thinking of being an accountant. Mad monies! I`m a middleschool cafeteria manager  (25k/yr)",sup i ` m think of be an account mad moni i ` m a middleschool cafeteria manag yr
"The sun is shining brightly and the day has just begun! What`s in store? Wandering around les calanques maybe? Vin, definitely!",the sun is shine bright and the day ha just begun what ` s in store wander around le calanqu mayb vin definit
" AM`s good for us GMT-ish people, I think.  Looking forward to it and hope you`re batteries & laptop will be recharged soon.",am ` s good for u fetish peopl i think look forward to it and hope you ` re batteri laptop will be recharg soon
the fact my room is so hot is making me feel sick,the fact my room is so hot is make me feel sick
my arms hurt!,my arm hurt
 I can remember those Evidence Based Management lectures...definitely the best of EBM,i can rememb those evid base manag lecturesdefinit the best of em
on my way to work. I`M SO HUNGRY!,on my way to work i ` m so hungri
starting phase 1 of operation 'be productive'- pack clothes. can`t find pink tank top!! oh no!!!,start phase of oper be product pack cloth can ` t find pink tank top oh no
Miss Cauzinhoooo already,miss cauzinhoooo alreadi
" Fab, eh?  Feel free to come along for some pre-ep 4 chat and drinks over at Luigi`s - http://www.luigis.org.uk tomorrow!",fab eh feel free to come along for some prep chat and drink over at liga ` s tomorrow
" Since part of your job is predicting what will happen on the golf course, what are you going to shoot?",sinc part of your job is predict what will happen on the golf cours what are you go to shoot
"I just want this whole day to hurry up,",i just want this whole day to hurri up
" Oh yes..i think almost every Tuesday in June. Which dresss, I just bought one, then felt guilty and took it back",oh yes think almost everi tuesday in june which dress i just bought one then felt guilti and took it back
 OK! Oops sorry,ok oop sorri
 I LLLOOOVVVEEE ICARLY,i lllooovvvee car
" Aye, May the 4th be with you",aye may the th be with you
the suns starting to go in  im getting coldddd!,the sun start to go in im get coldddd
" - Wow, I didn`t realise you were Hami. lol. Thanks for all the comments on my blog, dude",wow i didn ` t realis you were ham lol thank for all the comment on my blog dude
Going to jog down to uni. Quite a way from my family home but exercise and all that,go to jog down to uni quit a way from my famili home but exercis and all that
_xo  hey chick u alryt u at dads tmoro we sud do sumin aen like last week we neva dun oot this week lol  missed you ha bye hun ****,xo hey chick u alt u at dad toro we sud do human an like last week we nova dun not this week lol miss you ha bye hun
Glad to see the sun out in Dublin after a great week in London. Back to work,glad to see the sun out in dublin after a great week in london back to work
" http://twitpic.com/4wfs8 - You are so weird. You need to lay off the smokes, because you`re talking to yourself.",you are so weird you need to lay off the smoke becaus you ` re talk to yourself
_Luck13 they are SO cute,luck they are so cute
 haha I tried covering it with make up.. It doesn`t work  lol so wearing a scarf is the way to go.,haha i tri cover it with make up it doesn ` t work lol so wear a scarf is the way to go
what am i gonna do when my iphone is full!,what am i gon na do when my iphon is full
"_zaboo its ok, it just hurts abit i thought i was doing a good job... if i was rude to people i could understand...  x",taboo it ok it just hurt bit i thought i wa do a good job if i wa rude to peopl i could understand x
lost HIATUS noooooooooooooooooo D: back to school tomorow. back in 10TY  (),lost hiatus noooooooooooooooooo d back to school tomorrow back in ty
" yes super lakas ng ulan. buti nalang i have a red bandana, body ko lang ang wet look  hahah!",yes super lake ng plan but lang i have a red banana bodi ko lang ang wet look haha
"Watched GossiP.Girl. Dan`s so funny, haha.",watch gossipgirl dan ` s so funni haha
  hope your day gets better soon!!,hope your day get better soon
 Thanks for the shoutout,thank for the shootout
is tired but happy the orphanage was wow.. and babysitting was really fun,is tire but happi the orphanag wa wow and babysit wa realli fun
"A sunny morning in the Big K, with lawns to mow and a 2 mile to run to attempt, urgh",a sunni morn in the big k with lawn to row and a mile to run to attempt urg
melissa_leah: my car wont start.......,melissaleah my car wont start
 couple days?! Sheeeeit. Wish I were there. Have something at Cafe Claude for me.,coupl day sheeeeit wish i were there have someth at cafe claud for me
Bushidokan class got canceled.   I`ll just have to sign up for karate someplace else!!,bushidokan class got cancel i ` ll just have to sign up for karat someplac els
 does it work on the iPhone as my MacBook is flat,doe it work on the iphon a my facebook is flat
"aww, jon ryan bob and greta in one picture? how adorable  and it brightens my morning, ty jon walker",www jon ryan bob and great in one pictur how ador and it bright my morn ty jon walker
 maybe one day I can be on your favorite producers list  lol,mayb one day i can be on your favorit produc list lol
 You know we do!,you know we do
wants this summer to actually have some sun in it,want this summer to actual have some sun in it
 I`d love to!!,i ` d love to
Never commute in the rain. The people get so much meaner to you.,never commut in the rain the peopl get so much meager to you
 The problem is that I`m not finished with it  But I have logged in mass hours this week on it. And i`m not being paid! POP!,the problem is that i ` m not finish with it but i have log in mass hour this week on it and i ` m not be paid pop
what a beautiful morning! nice to be out,what a beauti morn nice to be out
 FAILlllllllll  whenever ur freee then?,faillllllllll whenev ur free then
_ray Bright Eyes=Contentment,ray bright eyes=content
http://naturalismo.files.wordpress.com/2008/01/elliott10.jpg my hero,my hero
"I don`t think I`ve ever been up this early on a Sunday in a while. Meanwhile, the #bigweekend awaits!",i don ` t think i ` ve ever been up this earli on a sunday in a while meanwhil the bigweekend await
i feel like taking a day off but cannot afford it  looking forward to the dfb cup final tmrw night though. go werder!!!,i feel like take a day off but can not afford it look forward to the dfb cup final tmr night though go werden
"@_Marguerite Yup, that`s Dianne and Claudia.  Dianne is new to Tweetville, Claudia has been on a while but not active here",marguerit yup that ` s dian and claudia dian is new to tweetvill claudia ha been on a while but not activ here
My legs are so **** sore. And my feet hurt to walk. Whataday,my leg are so sore and my foot hurt to walk whataday
 hahah! sadly there is no current activity though in the room,haha sad there is no current activ though in the room
Yeah Yeah Yeahs - Softshock,yeah yeah year softshock
We`ll watch & wait & tomorrow I can take anyone who needs to the dr w/o having to take everyone else....N`s cheeks & ears red as my hair,we ` ll watch wait tomorrow i can take anyon who need to the dr wo have to take everyon els ` s cheek ear red a my hair
 yeaaa i just got the link off his lj,year i just got the link off his lj
noone wants to talk to me  lol,noon want to talk to me lol
so very irratated,so veri irrit
" http://twitpic.com/4vuuy - thats the most colorful thing ive seen all day,wow.",that the most color thing ive seen all dayton
Somebody get me out of work tomorrow.,somebodi get me out of work tomorrow
" haha.. you were actually in violations of someone`s trademark?! okay..  Yeah, I went to bed at 4 and I had to be up at 6. :[",haha you were actual in violat of someon ` s trademark okay yeah i went to bed at and i had to be up at
" I just started watching 30 Rock too, borrowed seasons 1 and 2 from my dad   so good.",i just start watch rock too borrow season and from my dad so good
 i like OGBERRY,i like berri
Lost at bowling again  why do i suck,lost at bowl again whi do i suck
" You are totally welcome to come hang out on my wiki  Do it, do it!",you are total welcom to come hang out on my wiki do it do it
? American Pie FOREVER. I`m watching it right now. They`re running naked around on the Streets! Would you do that? I would  [ NOT ],american pie forev i ` m watch it right now they ` re run nake around on the street would you do that i would not
 Hey im a fan from New Zealand. Loving the show even tho we are soooo behind in the episodes! haha. Keep up the good work,hey im a fan from new zealand love the show even tho we are soon behind in the episod haha keep up the good work
 crud is all I can say,crude is all i can say
going to work till 3...then maybe ride the horses and take my sister to softball pratice,go to work till then mayb ride the hors and take my sister to softbal practic
 Nice! You should submit that to failblog.org,nice you should submit that to failblogorg
"Is ahhh, ching chong wing wong ping pong ding dong!",is hhh ching hong wing wong ping pong ding dong
has two tickets to Amadou and Miriam for Tue. June 2 that I can`t use  $25 each to anyone who wants `em. That`s face value. Should be good,ha two ticket to amazon and maria for tue june that i can ` t use each to anyon who want ` em that ` s face valu should be good
_zwitschert There`s supposed to be a <3 at the end of my last tweet but I guess twitter ate it,zwitschert there ` s suppos to be a at the end of my last tweet but i guess twitter ate it
is going to watch the two davids. yey,is go to watch the two david yes
 hahahaha wtf dianne????? who twitters that lol...i guess it depends who the person is.....,hahahaha wtf dian who twitter that coli guess it depend who the person is
listening to a new Stolen Sheep record,listen to a new stolen sheep record
Home from work. A few hours of sleep then putting some miles on the new bike.,home from work a few hour of sleep then put some mile on the new bike
"says livejournal is being a bee-eye-tee-see-hedge. Dum dee dum, ok back to work!",say livejourn is be a beeeyeteeseehedg dum dee dum ok back to work
always excited for a new chapter in my life. just didnt expect it to be so emotional.,alway excit for a new chapter in my life just didnt expect it to be so emot
in about half a hour i`m going to my english lesson...guess i`ll have to wait...and wait for a couple hours so i`m over with it.(( :S   )),in about half a hour i ` m go to my english lessonguess i ` ll have to wait wait for a coupl hour so i ` m over with it s
 hell yeah! Belgian beer is the bomb!!  :p,hell yeah belgian beer is the bomb p
" hahahaha. im listening to my iTunes library, a bit of Sonia Dada atm,  ITs good",hahahaha im listen to my itun librari a bit of sonia data atm it good
http://twitpic.com/4we4j - Speed lessons on the main screens on center court! I had to take this pic,speed lesson on the main screen on center court i had to take this pic
"  great pic,have to upload my pix tomo,I`ve no laptop tonight.",great fichaj to upload my pix tomo ` ve no laptop tonight
acsvxdcbgfn soccer now. shall see young phoebe after D: I don`t want her dressed up though,acsvxdcbgfn soccer now shall see young phoeb after d i don ` t want her dress up though
 You win ... SIGH Rakeem,you win sigh rake
live long and prosper,live long and prosper
"just got in from michaels and had some shreddies  im well tired, it was fun though ryan wright stoned = LOL",just got in from michael and had some shred im well tire it wa fun though ryan wright stone = lol
 mean,mean
finished proofing the wedding from March .. now just waiting for export and upload before I can share  Still have 2 more sessions to do!,finish roof the wed from march now just wait for export and upload befor i can share still have more session to do
 lol yea im thinkin bday bash ! but everybodys lame wants to sit in the house instead of qo wit me  lol,lol yea im think bday bash but everybodi lame want to sit in the hous instead of qo wit me lol
 My dad had to bury ours six weeks ago. She became his after I left for college fourteen years ago. Long time to have a kitty.,my dad had to buri our six week ago she becam his after i left for colleg fourteen year ago long time to have a kitti
" - Bless you as well sweetie, and i hope you have a wonderful weekend",bless you a well sweet and i hope you have a wonder weekend
 you could say that. I left it in VT and have been Blackberryless since Tuesday Night. I`m lost,you could say that i left it in vt and have been blackberryless sinc tuesday night i ` m lost
" it was a biligual sweatshop LOL I talk 2 him once in a while but not as much, he got an r6",it wa a bilingu sweatshop lol i talk him onc in a while but not a much he got an r
"super late for work, and got an earful from the PSYCHOPATH. GRRRR! Day, please get better",super late for work and got an fear from the psychopath error day pleas get better
just got outta work.  ....... Frankie`s house.,just got out work franki ` s hous
 Search for 'Asos coupons' in Google  Plenty to choose from,search for ask coupon in googl plenti to choos from
'I want you in my mouth and my **** b!tch' mm jeffree rawks,i want you in my mouth and my batch mm jeffrey rank
Omg I can`t believe jay leno is going off the air,omg i can ` t believ jay len is go off the air
I`m SO thinking about skippin out to NY in the morning. . . but all of my plans were for tonight  well . . . most of them anyway.,i ` m so think about skip out to ny in the morn but all of my plan were for tonight well most of them anyway
Taking 40 underpriveledged kids to the circus 2moro. BIG day planned & I still aint feeling 100%  so nervous right now..,take underprivileg kid to the circus more big day plan i still aint feel so nervous right now
"Enjoying a beautiful day off by hanging around the house. Pam is making a cake, but she won`t give me any",enjoy a beauti day off by hang around the hous pam is make a cake but she won ` t give me ani
  it might be the swine flu! haha `cause i`ve got the flu,it might be the swine flu haha ` caus i ` ve got the flu
Happy Mothers day to all mums,happi mother day to all sum
i can`t studyyyyyyyyyyyyyyyyyyyyyyyyy  i have an exam tom,i can ` t studyyyyyyyyyyyyyyyyyyyyyyyyi i have an exam tom
Is in starbucks,is in starbuck
 Oceans 12,ocean
" Heavens, not good  I can empathise. Fingers crossed it doesn`t come to anything and you can sleep easy. Wishing for the best...",heaven not good i can empathis finger cross it doesn ` t come to anyth and you can sleep easi wish for the best
"Going to the Star Trek premier tomorrow night, uber stoked. I don`t care if I`m a nerd, Star Trek is amazecore!!",go to the star trek premier tomorrow night uber store i don ` t care if i ` m a nerd star trek is amazecor
I think I should hire one of those tranlsators.. because no one ever understands me....,i think i should hire one of those translat becaus no one ever understand me
I overslept  headache,i overslept headach
 Thanks G! My actual birthday is on Tuesday and I will be 24.,thank g my actual birthday is on tuesday and i will be
bout to go to work,bout to go to work
its so nice.. I LUV KELLY...she`s such an amazing singer  LUV HER,it so nice i luv kellysh ` s such an amaz singer luv her
In Kelantan! Good to be (sort of) home! :pI`m guilt stricken after having that turtle egg.  Really. Won`t do it again. Really.,in kelantan good to be sort of home pi ` m guilt stricken after have that turtl egg realli won ` t do it again realli
" Trying to watch your vids, but the audio has been disabled",tri to watch your kid but the audio ha been disabl
Rats the Creative VADO`s are out of stock at walmart.com I`m too late.,rat the creativ vadb ` s are out of stock at walmartcom i ` m too late
weather starting to be better  So just SHINE **,weather start to be better so just shine
" diapers??  Feeding?  Cooking?  I don`t do any of that stuff!!!  Hahaha... yeah, right!  Sounds like a normal day for me.",paper feed cook i don ` t do ani of that stuff haha yeah right sound like a normal day for me
 http://twitpic.com/4bckp - that should answer part of your question,that should answer part of your question
 hope ya sleepin well  guys still here,hope ya sleep well guy still here
 I wasn`t feeling it,i wasn ` t feel it
Follow Friday is a bit hard to do when my work kicks in on Fridays,follow friday is a bit hard to do when my work kick in on friday
" Thank you  How`s your daughter? And by the way, how did you get 1017 followers? :O",thank you how ` s your daughter and by the way how did you get follow o
"i want some grape soda, jack fowers` fault. also,  i wish i could see you play  are your uk gigs sold out? please reply!!!!!!!!",i want some grape soda jack power ` fault also i wish i could see you play are your uk gig sold out pleas repli
 WOW.How sweet!,wowhow sweet
 oh..keep working on it..you can always make it a little smaller,keep work on you can alway make it a littl smaller
 Just saw you on TV for the Best Job in the World. Good luck.,just saw you on tv for the best job in the world good luck
Happy Mothers Day!!!  <3,happi mother day
had my last class with Scott and Julie today  going to miss them... they bought me a bottle of champagne as a congratulatory gift.,had my last class with scott and juli today go to miss them they bought me a bottl of champagn a a congratulatori gift
" hey i loved ACS but i had to see it online, is not here yet   cant wait to buy it!!! you look amazing there",hey i love ac but i had to see it onlin is not here yet cant wait to buy it you look amaz there
_ife not to forget cinnamon!,if not to forget cinnamon
" I can understand, pains been part of my life for a long time now  I hope you feel a bit better soon.",i can understand pain been part of my life for a long time now i hope you feel a bit better soon
might be at cornerstone this year,might be at cornerston this year
sooo glad im home  floridia was fun!! back in ATL. time to sleep....then back up to work!!! constant grind.,soon glad im home florida wa fun back in atl time to sleepthen back up to work constant grind
I was feeling guilty about buying a luxurious pair of shoes yesterday until my house mate just saw them and got over excited,i wa feel guilti about buy a luxuri pair of shoe yesterday until my hous mate just saw them and got over excit
"has burnt my hand on the cooker, it hurts",ha burnt my hand on the cooker it hurt
 The episode was AMAZING...I cried when I saw the home videos they were soooooo cute,the episod wa amaz cri when i saw the home video they were soooooo cute
 I always feel guilty about it,i alway feel guilti about it
 no need to thank  we all just have to keep the good thought!,no need to thank we all just have to keep the good thought
  ROFLMAO for the funny web portal  =D,roflmao for the funni web portal =d
i really cant take this.,i realli cant take this
  that would mean me babe! but **** it my name  is SUPER FREAKIN COOL! I give myself a pass! HA!,that would mean me babe but it my name is super break cool i give myself a pas ha
SBS 2003 or SBS 2008! Damned if you do and damned if you don`t!  Fun times at GCH!,sb or sb damn if you do and damn if you don ` t fun time at ch
net .. net .. net ..  hmm. bad weather .. weird summer!,net net net hmm bad weather weird summer
is now on twitter.....,is now on twitter
 ugh I`m not doin too good,gh i ` m not doi too good
She doesn`t believe spending many (many) thousands on a perfect wedding makes a happy couple.....A happy couple makes a perfect wedding,she doesn ` t believ spend mani mani thousand on a perfect wed make a happi coupl happi coupl make a perfect wed
" Miley, I tried voting for you, and it wont let me vote for some reason  Ill try back a little later! <3",miley i tri vote for you and it wont let me vote for some reason ill tri back a littl later
 what have you been up to ?,what have you been up to
 mmmm lauren conrad eeeeep im going to miss the hills,mmmm lauren conrad eeeeee im go to miss the hill
 Thanks,thank
how i wish the result IS true...,how i wish the result is true
and we`re off  to OT !! exciting game like always,and we ` re off to ot excit game like alway
watching Bones with Naty. Have made her a fan! Mission convert Naty: Success...now onto Mission convert Meagan,watch bone with nat have made her a fan mission convert nat successor onto mission convert reagan
 her son is 7 and captured it outside...THANK GOD I HAVE A LITTLE GIRL,her son is and captur it outsidethank god i have a littl girl
 and I`m really glad you were able to watch the game,and i ` m realli glad you were abl to watch the game
alhamdulilah. i got accepted into nafa,alhamdulilah i got accept into nasa
 Whom do yu wanna kill ??,whom do yu wan na kill
I love being able to run my tongue along my teeth,i love be abl to run my tongu along my teeth
"facebook quizzes are one cure of boredom haha, my teeth/mouth hurts",facebook quiz are one cure of boredom haha my teethmouth hurt
"I dont like seeing my best friend cry, it breaks my heart and I dont know what to do or say",i dont like see my best friend cri it break my heart and i dont know what to do or say
"_13 Awe, THX so much! Neither of need 2b sick on Friday!!  Do u have any prayer requests?",awe thx so much neither of need b sick on friday do u have ani prayer request
 Random has an a,random ha an a
__marie lol..french toast sticks too!,mari lolfrench toast stick too
going to the memorial for the guy in my grade that died.,go to the memori for the guy in my grade that die
"They grovelled   On tomorrow morning, will post a link to the show, should be on just after 9am if anyone is about",they travel on tomorrow morn will post a link to the show should be on just after am if anyon is about
Sob! I can`t believe I`m ending my work week at the chapter about what Augusten Burrough`s father did to Ernie the guinea pig!,sob i can ` t believ i ` m end my work week at the chapter about what august borough ` s father did to berni the guinea pig
 Bye ! Have a great time being whisked away,bye have a great time be whiskey away
Missed the UPS guy again! Ugh so sad  But i got some cool stuff today that i`m super excited about! And looking forward to tonight too,miss the up guy again gh so sad but i got some cool stuff today that i ` m super excit about and look forward to tonight too
 lol! Ahhh well its a good song,lol hhh well it a good song
Actual wiki entry 'The Million Dollar Homepage' made me just shake my head due to the fact that ... sometimes...somtimes things just work,actual wiki entri the million dollar homepag made me just shake my head due to the fact that sometimessomtim thing just work
Boring starting work weekend soon................ 1st need to get a Tim Coffee so I can make it through this **** night shift........,bore start work weekend soon st need to get a tim coffe so i can make it through this night shift
i`m awake while others sleep,i ` m awak while other sleep
 cheers for the aptism link,cheer for the autism link
Just drove by fisher and I feel so sad,just drove by fisher and i feel so sad
am bored out of my skull.  i have got to get a job.  this SUCKS.  i need entertainment. /grumbles,am bore out of my skull i have got to get a job this suck i need entertain fumbl
  Cool...a VERY productive day! I just got a spot as an extra in a feature film that is filming tomorrow  AWESOME week all around!,cool veri product day i just got a spot a an extra in a featur film that is film tomorrow awesom week all around
_Dew tokens haven`t been working for me all day....,dew token haven ` t been work for me all day
_cowan oh cool!  I`m gonna crash and sleep. I have been like 40 some hours working lol,conan oh cool i ` m gon na crash and sleep i have been like some hour work lol
 Me too   haha I did but have no credit,me too haha i did but have no credit
Epicfail and Joseph in class... Very long liao,epicfail and joseph in class veri long lia
i`m freezing in math class!,i ` m freez in math class
Be my Yoko Ono and follow me wherever I may go !,be my yoke ono and follow me wherev i may go
This is what I had to endure to get prizes of to my lucky winners  http://twitpic.com/669nm,this is what i had to endur to get prize of to my lucki winner
I`m likable after all HAHAHAHAHAHAHA! Still over the moon,i ` m liabl after all hahahahahahaha still over the moon
